Node	10000ms		20000ms		30000ms		40000ms		
------------------------------------------------------------------
p22	263		608		373		461		
p5	289		464		416		440		
p49	422		419		423		460		
p57	277		242		473		406		
p16	410		300		501		534		
p43	305		414		407		471		
p33	334		473		460		484		
p40	326		320		520		406		
p42	336		451		313		679		
p54	271		352		362		606		
p55	298		417		413		388		
p3	457		379		353		442		
p1	372		509		485		396		
p53	385		422		394		476		
p52	347		434		511		445		
p21	297		416		372		413		
p19	280		550		391		418		
p51	403		406		433		488		
p48	264		350		421		318		
p2	366		556		419		466		
p30	391		465		656		444		
p36	318		487		472		402		
p8	332		440		417		464		
p29	274		395		575		535		
p35	392		339		371		351		
p50	180		278		432		431		
p38	356		479		287		510		
p31	363		454		435		400		
p23	437		399		397		367		
p18	320		568		604		364		
p45	312		361		482		430		
p12	387		422		526		439		
p7	258		378		367		463		
p15	372		443		389		511		
p17	327		593		298		482		
p37	226		388		518		330		
p41	297		454		473		459		
p24	328		606		473		537		
p47	401		487		382		539		
p59	410		320		415		391		
p26	229		502		341		384		
p4	305		417		477		403		
p20	347		470		447		380		
p11	326		357		504		501		
p13	411		447		328		483		
p56	283		412		544		389		
p32	276		484		418		481		
p34	357		457		361		399		
p27	336		383		363		380		
p0	382		457		338		451		
p9	276		428		373		391		
p44	370		491		383		455		
p25	353		517		415		368		
p10	459		350		513		366		
p6	301		597		339		405		
p28	333		403		492		512		
p58	441		448		406		349		
p14	309		498		377		470		
p46	353		526		509		433		
p39	317		542		412		258		
Total drop : 8529
